Freq_Hz,Amplitude_dB
-1.739902000000000000e+06,-8.450696258999981580e+01
-1.719902000000000000e+06,-9.201065369000008332e+01
-1.699902000000000000e+06,-8.554716948999995907e+01
-1.679902000000000000e+06,-9.097475280999987035e+01
-1.659902000000000000e+06,-8.963549651999996115e+01
-1.639902000000000000e+06,-9.078530579000003797e+01
-1.619902000000000000e+06,-8.710173949999990839e+01
-1.599902000000000000e+06,-9.103895721000000663e+01
-1.579902000000000000e+06,-9.050238342000010050e+01
-1.559902000000000000e+06,-8.653583678999993367e+01
-1.539902000000000000e+06,-8.707264404000008540e+01
-1.519902000000000000e+06,-8.638305817000016873e+01
-1.499902000000000000e+06,-9.051763457999996376e+01
-1.479902000000000000e+06,-9.052591095000008181e+01
-1.459902000000000000e+06,-8.887717590000002588e+01
-1.439902000000000000e+06,-8.635856627999984880e+01
-1.419902000000000000e+06,-8.184563141000013786e+01
-1.399902000000000000e+06,-8.643117827999979852e+01
-1.379902000000000000e+06,-9.337792663999988463e+01
-1.359902000000000000e+06,-8.660170135000022640e+01
-1.339902000000000000e+06,-8.900650482000010300e+01
-1.319902000000000000e+06,-8.898598479999984079e+01
-1.299902000000000000e+06,-8.531566466999998966e+01
-1.279902000000000000e+06,-8.933889008000004139e+01
-1.259902000000000000e+06,-8.581927794999981529e+01
-1.239902000000000000e+06,-8.660739136000007932e+01
-1.219902000000000000e+06,-8.811505585000007557e+01
-1.199902000000000000e+06,-8.518502654999991819e+01
-1.179902000000000000e+06,-8.637112273999993306e+01
-1.159902000000000000e+06,-8.743722533999988400e+01
-1.139902000000000000e+06,-8.723047942999988891e+01
-1.119902000000000000e+06,-8.547903595000008181e+01
-1.099902000000000000e+06,-8.601795348999991120e+01
-1.079902000000000000e+06,-8.255516968000010536e+01
-1.059902000000000000e+06,-6.944445037999985004e+01
-1.039902000000000000e+06,-7.644265137000000720e+01
-1.019902000000000000e+06,-8.557340240000009146e+01
-9.999020000000000000e+05,-8.200367888999990384e+01
-9.799020000000000000e+05,-8.458745269999984373e+01
-9.599020000000000000e+05,-8.336476897999999380e+01
-9.399020000000000000e+05,-8.216723784999994962e+01
-9.199020000000000000e+05,-8.324086913999984461e+01
-8.999020000000000000e+05,-8.514022063999988177e+01
-8.799020000000000000e+05,-8.724384459999984642e+01
-8.599020000000000000e+05,-8.284902039000006368e+01
-8.399020000000000000e+05,-8.256897888000001728e+01
-8.199020000000000000e+05,-8.149834594999994408e+01
-7.999020000000000000e+05,-8.227095183999990979e+01
-7.799020000000000000e+05,-8.165481110000013132e+01
-7.599020000000000000e+05,-8.093500061000013091e+01
-7.399020000000000000e+05,-8.010460510000011425e+01
-7.199020000000000000e+05,-7.753407439999979545e+01
-6.999020000000000000e+05,-6.876612549000012109e+01
-6.799020000000000000e+05,-7.800641173999993327e+01
-6.599020000000000000e+05,-7.511987609999984272e+01
-6.399020000000000000e+05,-8.802743072999990659e+01
-6.199020000000000000e+05,-7.828862151999987873e+01
-5.999020000000000000e+05,-8.050058593999987977e+01
-5.799020000000000000e+05,-7.668965148999997439e+01
-5.599020000000000000e+05,-7.495386200000010035e+01
-5.399020000000000000e+05,-7.627310791000013523e+01
-5.199020000000000000e+05,-7.904220885999988866e+01
-4.999020000000000000e+05,-7.677115935999991336e+01
-4.799020000000000000e+05,-7.804736022999991008e+01
-4.599020000000000000e+05,-7.871036834999996756e+01
-4.399020000000000000e+05,-7.764302978999985783e+01
-4.199020000000000000e+05,-7.941723633000016491e+01
-3.999020000000000000e+05,-7.543655700999990188e+01
-3.799020000000000000e+05,-7.406788634999993803e+01
-3.599020000000000000e+05,-8.056534881999982645e+01
-3.399020000000000000e+05,-7.817225188999987040e+01
-3.199020000000000000e+05,-7.854006804999990266e+01
-2.999020000000000000e+05,-7.886181183000006456e+01
-2.799020000000000000e+05,-7.946848754999992082e+01
-2.599020000000000000e+05,-7.910257721000012054e+01
-2.399020000000000000e+05,-8.214091491999990069e+01
-2.199020000000000000e+05,-7.744232025000013664e+01
-1.999020000000000000e+05,-7.627644652999988750e+01
-1.799020000000000000e+05,-7.540490570000014259e+01
-1.599020000000000000e+05,-7.725108336999988978e+01
-1.399020000000000000e+05,-7.774454803000007530e+01
-1.199020000000000000e+05,-7.967538756999987015e+01
-9.990200000000000000e+04,-7.901642913999985751e+01
-7.990200000000000000e+04,-7.722917479999983925e+01
-5.990200000000000000e+04,-7.736367644999991455e+01
-3.990200000000000000e+04,-6.422531127999992862e+01
-1.990200000000000000e+04,-2.085315551999998362e+01
9.800000000000000000e+01,-7.604927825999994617e+00
2.009800000000000000e+04,-2.000678672999997687e+01
4.009800000000000000e+04,-6.286160735999993676e+01
6.009800000000000000e+04,-8.335223236000000213e+01
8.009800000000000000e+04,-7.945678100999994342e+01
1.000980000000000000e+05,-7.827737273999993306e+01
1.200980000000000000e+05,-7.573698425000014822e+01
1.400980000000000000e+05,-7.888909760000005633e+01
1.600980000000000000e+05,-7.673497924999993813e+01
1.800980000000000000e+05,-7.745504302999984247e+01
2.000980000000000000e+05,-7.923699950999986186e+01
2.200980000000000000e+05,-7.982734222000000557e+01
2.400980000000000000e+05,-7.839456177000009518e+01
2.600980000000000000e+05,-7.641232605000003275e+01
2.800980000000000000e+05,-7.878811339999994345e+01
3.000980000000000000e+05,-7.724494780999994248e+01
3.200980000000000000e+05,-7.764660187000008307e+01
3.400980000000000000e+05,-7.693282928000006393e+01
3.600980000000000000e+05,-7.456800536999986662e+01
3.800980000000000000e+05,-7.928218231000009553e+01
4.000980000000000000e+05,-7.651247100999991346e+01
4.200980000000000000e+05,-7.562254028000005235e+01
4.400980000000000000e+05,-7.405471496999986414e+01
4.600980000000000000e+05,-8.020616150000005007e+01
4.800980000000000000e+05,-7.445252379999989500e+01
5.000980000000000000e+05,-7.570550078999991683e+01
5.200980000000000000e+05,-7.797212218999995059e+01
5.400980000000000000e+05,-7.971386413999989884e+01
5.600980000000000000e+05,-8.050835876000013513e+01
5.800980000000000000e+05,-8.181717834000011180e+01
6.000980000000000000e+05,-7.731619262999994646e+01
6.200980000000000000e+05,-7.963810730000017202e+01
6.400980000000000000e+05,-7.659639129999983709e+01
6.600980000000000000e+05,-7.890601653999986809e+01
6.800980000000000000e+05,-8.094379730000015627e+01
7.000980000000000000e+05,-7.256052398999987929e+01
