Frequency (Hz),PSD (dBfs)
357810000.0,-81.02406
357820000.0,-81.01815
357830000.0,-81.005844
357840000.0,-80.99407
357850000.0,-80.99858
357860000.0,-80.98166
357870000.0,-80.979416
357880000.0,-81.020966
357890000.0,-81.01843
357900000.0,-80.89049
357910000.0,-80.82539
357920000.0,-80.822495
357930000.0,-80.80083
357940000.0,-80.74408
357950000.0,-80.61984
357960000.0,-80.51065
357970000.0,-80.3228
357980000.0,-79.89729
357990000.0,-79.97068
358000000.0,-83.95906
358010000.0,-79.9854
358020000.0,-79.90993
358030000.0,-80.31834
358040000.0,-80.51804
358050000.0,-80.65411
358060000.0,-80.77679
358070000.0,-80.77744
358080000.0,-80.79903
358090000.0,-80.811966
358100000.0,-80.87086
358110000.0,-80.94052
358120000.0,-80.96475
358130000.0,-80.95227
358140000.0,-80.97226
358150000.0,-81.002106
358160000.0,-81.025856
358170000.0,-81.020386
358180000.0,-81.034615
358190000.0,-81.03894
358200000.0,-81.02395
358210000.0,-81.045616
358220000.0,-81.07152
358230000.0,-81.03016
358240000.0,-81.023796
358250000.0,-81.02874
358260000.0,-81.07316
358270000.0,-81.0983
358280000.0,-81.09746
358290000.0,-81.099335
358300000.0,-81.07757
358310000.0,-81.12468
358320000.0,-81.13692
358330000.0,-81.07341
358340000.0,-81.08687
358350000.0,-81.12875
358360000.0,-81.12224
358370000.0,-81.11518
358380000.0,-81.13311
358390000.0,-81.107056
358400000.0,-81.14731
358410000.0,-81.1666
358420000.0,-81.128235
358430000.0,-81.14249
358440000.0,-81.1533
358450000.0,-81.17188
358460000.0,-81.16611
358470000.0,-81.186386
358480000.0,-81.12715
358490000.0,-81.164635
358500000.0,-81.13906
358510000.0,-81.13823
358520000.0,-81.14467
358530000.0,-81.17154
358540000.0,-81.17401
358550000.0,-81.16051
358560000.0,-81.154335
358570000.0,-81.12854
358580000.0,-81.108055
358590000.0,-81.166145
358600000.0,-81.18595
358610000.0,-81.15772
358620000.0,-81.08327
358630000.0,-81.09166
358640000.0,-81.19118
358650000.0,-81.17606
358660000.0,-81.13803
358670000.0,-81.10103
358680000.0,-81.13455
358690000.0,-81.17461
358700000.0,-81.15276
358710000.0,-81.15624
358720000.0,-81.15632
358730000.0,-81.131
358740000.0,-81.15291
358750000.0,-81.20345
358760000.0,-81.15974
358770000.0,-81.08613
358780000.0,-81.111916
358790000.0,-81.13079
358800000.0,-81.1864
358810000.0,-81.18933
358820000.0,-81.17236
358830000.0,-81.17259
358840000.0,-81.16286
358850000.0,-81.19179
358860000.0,-81.18493
358870000.0,-81.158226
358880000.0,-81.17096
358890000.0,-81.160706
358900000.0,-81.104515
358910000.0,-81.1319
358920000.0,-81.17621
358930000.0,-81.1824
358940000.0,-81.159584
358950000.0,-81.20904
358960000.0,-81.229416
358970000.0,-81.18535
358980000.0,-81.179855
358990000.0,-81.17646
359000000.0,-81.1241
359010000.0,-81.13397
359020000.0,-81.144066
359030000.0,-81.16409
359040000.0,-81.18059
359050000.0,-81.19043
359060000.0,-81.23349
359070000.0,-81.21913
359080000.0,-81.14201
359090000.0,-81.16603
359100000.0,-81.20469
359110000.0,-81.19083
359120000.0,-81.18538
359130000.0,-81.1642
359140000.0,-81.14913
359150000.0,-81.15065
359160000.0,-81.157715
359170000.0,-81.14223
359180000.0,-81.11118
359190000.0,-81.1263
359200000.0,-81.18898
359210000.0,-81.20021
359220000.0,-81.16022
359230000.0,-81.14327
359240000.0,-81.12619
359250000.0,-81.18765
359260000.0,-81.15861
359270000.0,-81.18142
359280000.0,-81.1873
359290000.0,-81.14918
359300000.0,-81.150375
359310000.0,-81.140015
359320000.0,-81.12149
359330000.0,-81.16144
359340000.0,-81.1447
359350000.0,-81.133766
359360000.0,-81.20263
359370000.0,-81.209305
359380000.0,-81.1282
359390000.0,-81.12576
359400000.0,-81.15818
359410000.0,-81.14411
359420000.0,-81.1344
359430000.0,-81.12698
359440000.0,-81.16375
359450000.0,-81.19049
359460000.0,-81.1906
359470000.0,-81.22185
359480000.0,-81.16252
359490000.0,-81.11404
359500000.0,-81.13656
359510000.0,-81.16324
359520000.0,-81.18493
359530000.0,-81.206375
359540000.0,-81.191246
359550000.0,-81.13816
359560000.0,-81.16891
359570000.0,-81.18808
359580000.0,-81.1945
